Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO13096	Probable RNA-binding protein PA4753; Complete proteome; Reference proteome; RNA-binding	CRS1 / YhbY (CRM) domain	CRM domain profile	NULL	RNA binding [GO:0003723]; RNA binding [GO:0003723]; RNA binding [GO:0003723]	NULL
ABO12665	Replication factor C large subunit; ATP-binding; Complete proteome; DNA replication; Nucleotide-binding; Reference proteome	Protein of unknown function (DUF815); AAA ATPase domain; ATPase family associated with various cellular activities (AAA); Zeta toxin; AAA domain; ABC transporter; P-loop containing region of AAA domain; AAA domain (dynein-related subfamily); FtsK/SpoIIIE family; Type II/IV secretion system protein; RNA helicase; Type IV secretion-system coupling protein DNA-binding domain; CGNR zinc finger; Sigma-54 interaction domain; AAA domain; IstB-like ATP binding protein; AAA domain; 50S ribosome-binding GTPase	NULL	NULL	ATP binding [GO:0005524]; DNA replication [GO:0006260]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; nucleotide binding [GO:0000166]; DNA binding [GO:0003677]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; transport [GO:0006810]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; ATP binding [GO:0005524]; transcription factor binding [GO:0008134]; regulation of transcription, DNA-templated [GO:0006355]; ATP binding [GO:0005524]; GTP binding [GO:0005525]	NULL
ABO13094	ATP-dependent zinc metalloprotease FtsH; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Metal-binding; Metalloprotease; Nucleotide-binding; Protease; Reference proteome; Transmembrane; Transmembrane helix; Zinc	Peptidase family M41; ATPase family associated with various cellular activities (AAA); FtsH Extracellular; TIP49 C-terminus; AAA domain (dynein-related subfamily); Holliday junction DNA helicase ruvB N-terminus; AAA ATPase domain; AAA domain; Hinge domain of cleavage stimulation factor subunit 2; IstB-like ATP binding protein; Magnesium chelatase, subunit ChlI; AAA domain; AAA domain (Cdc48 subfamily); Sigma-54 interaction domain; ABC transporter; AAA domain; AAA domain; AAA domain	AAA-protein family signature	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; metalloendopeptidase activity [GO:0004222]; ATP binding [GO:0005524]; proteolysis [GO:0006508]; ATP binding [GO:0005524]; metalloendopeptidase activity [GO:0004222]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]; integral component of membrane [GO:0016021]; DNA helicase activity [GO:0003678]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; four-way junction helicase activity [GO:0009378]; DNA repair [GO:0006281]; DNA recombination [GO:0006310]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; transcription factor binding [GO:0008134]; regulation of transcription, DNA-templated [GO:0006355]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]	NULL
ABS90261	NULL	NULL	NULL	NULL	NULL	NULL
ABO13092	Fibroblast growth factor receptor 3; Alternative splicing; Apoptosis; ATP-binding; Cell membrane; Complete proteome; Cytoplasmic vesicle; Disulfide bond; Endoplasmic reticulum; Glycoprotein; Immunoglobulin domain; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Receptor; Reference proteome; Repeat; Signal; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase; Ubl conjugation	BTB And C-terminal Kelch; D-aminopeptidase; Tup N-terminal; Haemagglutinin	NULL	NULL	cytoplasmic side of plasma membrane [GO:0009898]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]; ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor-activated receptor activity [GO:0005007]; protein tyrosine kinase activity [GO:0004713]; alveolar secondary septum development [GO:0061144]; axonogenesis involved in innervation [GO:0060385]; bone development [GO:0060348]; bone maturation [GO:0070977]; bone mineralization [GO:0030282]; bone morphogenesis [GO:0060349]; bone trabecula morphogenesis [GO:0061430]; cartilage development [GO:0051216]; cell differentiation [GO:0030154]; central nervous system myelination [GO:0022010]; cochlea development [GO:0090102]; digestive tract morphogenesis [GO:0048546]; epithelial cell fate commitment [GO:0072148]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast growth factor receptor apoptotic signaling pathway [GO:1902178]; fibroblast growth factor receptor signaling pathway [GO:0008543]; forebrain development [GO:0030900]; inner ear development [GO:0048839]; inner ear receptor cell differentiation [GO:0060113]; lens fiber cell development [GO:0070307]; lens morphogenesis in camera-type eye [GO:0002089]; MAPK cascade [GO:0000165]; morphogenesis of an epithelium [GO:0002009]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of cell proliferation [GO:0008285]; negative regulation of developmental growth [GO:0048640]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of gene expression [GO:0010629]; negative regulation of mitotic nuclear division [GO:0045839]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; oligodendrocyte development [GO:0014003]; p38MAPK cascade [GO:0038066]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cell proliferation in bone marrow [GO:0071864]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway [GO:0090080]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of tyrosine phosphorylation of Stat1 protein [GO:0042511]; positive regulation of tyrosine phosphorylation of Stat3 protein [GO:0042517]; post-anal tail morphogenesis [GO:0036342]; protein autophosphorylation [GO:0046777]; regulation of bone remodeling [GO:0046850]; regulation of collagen metabolic process [GO:0010712]; regulation of ossification [GO:0030278]; regulation of osteoclast differentiation [GO:0045670]; response to axon injury [GO:0048678]; somatic stem cell population maintenance [GO:0035019]; substantia nigra development [GO:0021762]; host cell surface receptor binding [GO:0046789]; fusion of virus membrane with host plasma membrane [GO:0019064]; viral envelope [GO:0019031]	NULL
ABO12834	Uncharacterized protein YbdD; Complete proteome; Reference proteome	Selenoprotein, putative; DnaA N-terminal domain	NULL	NULL	NULL	NULL
ABO12545	Antitoxin RelB; Complete proteome; DNA-binding; Repressor; Stress response; Transcription; Transcription regulation	RelB antitoxin; Snf7	NULL	NULL	DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; vacuolar transport [GO:0007034]	NULL
ABO13417	CDP-diacylglycerol--serine O-phosphatidyltransferase; Cell membrane; Complete proteome; Lipid biosynthesis; Lipid metabolism; Membrane; Phospholipid biosynthesis; Phospholipid metabolism; Reference proteome; Transferase; Transmembrane; Transmembrane helix	CDP-alcohol phosphatidyltransferase	CDP-alcohol phosphatidyltransferases signature	Metabolic pathways [acb01100]; Glycerophospholipid metabolism [acb00564]; Biosynthesis of secondary metabolites [acb01110]; Glycine, serine and threonine metabolism [acb00260]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882]; phospholipid biosynthetic process [GO:0008654]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]; membrane [GO:0016020]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]; membrane [GO:0016020]	NULL
ABO12540	tRNA dimethylallyltransferase; ATP-binding; Complete proteome; Magnesium; Nucleotide-binding; Transferase; tRNA processing	IPP transferase; Isopentenyl transferase; AAA domain; AAA domain	NULL	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA processing [GO:0008033]; tRNA processing [GO:0008033]; dimethylallyltranstransferase activity [GO:0004161]; biosynthetic process [GO:0009058]	NULL
ABO13098	Laminin-like protein epi-1; Complete proteome; Disulfide bond; Glycoprotein; Laminin EGF-like domain; Reference proteome; Repeat; Signal; Laminin-like protein epi-1; Complete proteome; Disulfide bond; Glycoprotein; Laminin EGF-like domain; Reference proteome; Repeat; Signal	Apolipoprotein A1/A4/E domain; Apolipophorin-III precursor (apoLp-III); Domain of unknown function (DUF5063); Bacterial protein of unknown function (DUF883); YtxH-like protein; Baculovirus polyhedron envelope protein, PEP, C terminus; Fibrinogen alpha/beta chain family; Rab-GTPase-TBC domain; Mitochondrial inner membrane protein; HSCB C-terminal oligomerisation domain; Exonuclease VII, large subunit; Mer2; Apolipoprotein O; Poly(hydroxyalcanoate) granule associated protein (phasin); Peptidase family S64; Histidine kinase; Bacterial protein of unknown function (DUF885); Polyhydroxyalkanoic acid inclusion protein (PhaP_Bmeg); Protein of unknown function (DUF98); Prominin; Protein of unknown function (DUF445); Protein of unknown function (DUF1640)	NULL	NULL	basement membrane [GO:0005604]; extracellular matrix structural constituent [GO:0005201]; axonal defasciculation [GO:0007414]; basement membrane organization [GO:0071711]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; neuron migration [GO:0001764]; positive regulation of endopeptidase activity [GO:0010950]; positive regulation of locomotion [GO:0040017]; regulation of cell proliferation [GO:0042127]; reproduction [GO:0000003]; response to heat [GO:0009408]; response to misfolded protein [GO:0051788]; basement membrane [GO:0005604]; extracellular matrix structural constituent [GO:0005201]; axonal defasciculation [GO:0007414]; basement membrane organization [GO:0071711]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; neuron migration [GO:0001764]; positive regulation of endopeptidase activity [GO:0010950]; positive regulation of locomotion [GO:0040017]; regulation of cell proliferation [GO:0042127]; reproduction [GO:0000003]; response to heat [GO:0009408]; response to misfolded protein [GO:0051788]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]; extracellular region [GO:0005576]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; extracellular region [GO:0005576]; structural molecule activity [GO:0005198]; viral capsid [GO:0019028]; viral envelope [GO:0019031]; receptor binding [GO:0005102]; protein binding, bridging [GO:0030674]; signal transduction [GO:0007165]; platelet activation [GO:0030168]; protein polymerization [GO:0051258]; fibrinogen complex [GO:0005577]; protein oligomerization [GO:0051259]; exodeoxyribonuclease VII activity [GO:0008855]; reciprocal meiotic recombination [GO:0007131]; condensed nuclear chromosome [GO:0000794]; cristae formation [GO:0042407]; MICOS complex [GO:0061617]; phosphorelay sensor kinase activity [GO:0000155]; protein dimerization activity [GO:0046983]; phosphorelay signal transduction system [GO:0000160]; integral component of membrane [GO:0016021]; integral component of membrane [GO:0016021]	NULL
ABO11433	Bifunctional enzyme CysN/CysC; ATP-binding; Complete proteome; GTP-binding; Kinase; Multifunctional enzyme; Nucleotide-binding; Nucleotidyltransferase; Reference proteome; Transferase	Elongation factor Tu GTP binding domain; 50S ribosome-binding GTPase; Elongation factor Tu domain 2; Ras of Complex, Roc, domain of DAPkinase; Elongation factor Tu C-terminal domain; Ferrous iron transport protein B; Signal recognition particle receptor beta subunit; Elongation factor Tu domain 4	Translational (tr)-type guanine nucleotide-binding (G) domain signature; Translational (tr)-type guanine nucleotide-binding (G) domain profile	Metabolic pathways [acb01100]; Selenocompound metabolism [acb00450]; Purine metabolism [acb00230]; Microbial metabolism in diverse environments [acb01120]; Monobactam biosynthesis [acb00261]; Biosynthesis of antibiotics [acb01130]; Sulfur metabolism [acb00920]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; cellular response to sulfate starvation [GO:0009970]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]; sulfur compound metabolic process [GO:0006790]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; small GTPase mediated signal transduction [GO:0007264]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	NULL
ABO10666	RutC family protein HD_0322; Complete proteome; Reference proteome	Endoribonuclease L-PSP; S-adenosylmethionine synthetase, N-terminal domain	NULL	NULL	methionine adenosyltransferase activity [GO:0004478]; S-adenosylmethionine biosynthetic process [GO:0006556]	NULL
ABO11432	Sulfate adenylyltransferase subunit 2; ATP-binding; Complete proteome; Nucleotide-binding; Nucleotidyltransferase; Transferase	Phosphoadenosine phosphosulfate reductase family	NULL	Metabolic pathways [acb01100]; Selenocompound metabolism [acb00450]; Purine metabolism [acb00230]; Microbial metabolism in diverse environments [acb01120]; Monobactam biosynthesis [acb00261]; Biosynthesis of antibiotics [acb01130]; Sulfur metabolism [acb00920]	ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate reduction [GO:0019419]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]	NULL
ABO10724	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA; cAMP; Hydrolase; Iron; Metal-binding; Nucleotide-binding	Calcineurin-like phosphoesterase; Calcineurin-like phosphoesterase superfamily domain; Pretoxin HINT domain	NULL	Purine metabolism [acb00230]	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; hydrolase activity [GO:0016787]	NULL
ABO10725	ADP-ribose pyrophosphatase; Complete proteome; Hydrolase; Magnesium; Manganese; Metal-binding	NUDIX domain	Nudix box signature; Nudix hydrolase domain profile	Purine metabolism [acb00230]	ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]	NULL
ABO10726	Phosphomethylpyrimidine synthase; 4Fe-4S; Iron; Iron-sulfur; Lyase; Metal-binding; S-adenosyl-L-methionine; Thiamine biosynthesis; Zinc	Radical SAM ThiC family; ThiC-associated domain	NULL	Thiamine metabolism [acb00730]; Metabolic pathways [acb01100]	4 iron, 4 sulfur cluster binding [GO:0051539]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; iron-sulfur cluster binding [GO:0051536]; thiamine biosynthetic process [GO:0009228]	NULL
ABS89920	NULL	Protein of unknown function (DUF1656)	NULL	NULL	NULL	NULL
ABO10721	Probable peptidoglycan glycosyltransferase FtsW; Cell cycle; Cell division; Cell inner membrane; Cell membrane; Cell shape; Cell wall biogenesis/degradation; Complete proteome; Glycosyltransferase; Membrane; Peptidoglycan synthesis; Reference proteome; Transferase; Transmembrane; Transmembrane helix	Cell cycle protein	Bacterial regulatory proteins, araC family signature; Cell cycle proteins ftsW / rodA / spoVE signature	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; peptidoglycan glycosyltransferase activity [GO:0008955]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; cell division [GO:0051301]; integral component of membrane [GO:0016021]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]; cell cycle [GO:0007049]; integral component of membrane [GO:0016021]	NULL
ABO11030	GTP pyrophosphokinase; ATP-binding; Complete proteome; GTP-binding; Kinase; Nucleotide-binding; Transferase	HD domain; Region found in RelA / SpoT proteins; TGS domain; ACT domain; ACT domain; ThiS family; Thymopoietin protein	ACT domain profile	Purine metabolism [acb00230]	amino acid binding [GO:0016597]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTP diphosphokinase activity [GO:0008728]; kinase activity [GO:0016301]; guanosine tetraphosphate biosynthetic process [GO:0015970]; guanosine tetraphosphate metabolic process [GO:0015969]; DNA binding [GO:0003677]	NULL
ABO11649	Glutathione-dependent formaldehyde-activating enzyme; Complete proteome; Lyase; Metal-binding; Plasmid; Reference proteome; Zinc	Glutathione-dependent formaldehyde-activating enzyme	NULL	NULL	S-(hydroxymethyl)glutathione synthase activity [GO:0051907]; zinc ion binding [GO:0008270]; formaldehyde catabolic process [GO:0046294]; carbon-sulfur lyase activity [GO:0016846]; metabolic process [GO:0008152]	NULL
ABO11334	NULL	NULL	Vicinal oxygen chelate (VOC) domain profile	NULL	NULL	NULL
ABO10523	Alkanesulfonate monooxygenase; Complete proteome; Flavoprotein; FMN; Monooxygenase; Oxidoreductase; Reference proteome	Luciferase-like monooxygenase	NULL	Sulfur metabolism [acb00920]	alkanesulfonate monooxygenase activity [GO:0008726]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; oxidation-reduction process [GO:0055114]	NULL
ABO10520	HTH-type transcriptional regulator RutR; Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation	YcdC-like protein, C-terminal region; Bacterial regulatory proteins, tetR family	TetR-type HTH domain profile	NULL	DNA binding [GO:0003677]; negative regulation of transcription, DNA-templated [GO:0045892]; transcription, DNA-templated [GO:0006351]; negative regulation of transcription, DNA-templated [GO:0045892]; DNA binding [GO:0003677]; DNA binding [GO:0003677]	NULL
ABO11644	Benzoate 1,2-dioxygenase subunit beta; Aromatic hydrocarbons catabolism; Complete proteome; Dioxygenase; NAD; Oxidoreductase; Reference proteome	Ring hydroxylating beta subunit; SnoaL-like domain	NULL	Metabolic pathways [acb01100]; Degradation of aromatic compounds [acb01220]; Microbial metabolism in diverse environments [acb01120]; Benzoate degradation [acb00362]; Fluorobenzoate degradation [acb00364]; Xylene degradation [acb00622]	benzoate 1,2-dioxygenase activity [GO:0018623]; benzoate catabolic process via hydroxylation [GO:0043640]; catalytic activity [GO:0003824]; cellular aromatic compound metabolic process [GO:0006725]; oxidation-reduction process [GO:0055114]	NULL
ABO11761	Aspartate-proton symporter; Amino-acid transport; Cell membrane; Complete proteome; Membrane; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport	Amino acid permease; Amino acid permease	NULL	NULL	integral component of plasma membrane [GO:0005887]; antiporter activity [GO:0015297]; L-amino acid transmembrane transporter activity [GO:0015179]; symporter activity [GO:0015293]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]; membrane [GO:0016020]; transport [GO:0006810]; transmembrane transport [GO:0055085]; membrane [GO:0016020]	NULL
ABO11646	HTH-type transcriptional regulator BenM; 3D-structure; Activator; Aromatic hydrocarbons catabolism; Complete proteome; DNA-binding; Reference proteome; Transcription; Transcription regulation	LysR substrate binding domain; Bacterial regulatory helix-turn-helix protein, lysR family; Conserved membrane protein YqhR	LysR-type HTH domain profile	NULL	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; aromatic compound catabolic process [GO:0019439]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO13703	N-ethylmaleimide reductase; Complete proteome; Flavoprotein; FMN; NADP; Oxidoreductase; Reference proteome	NADH:flavin oxidoreductase / NADH oxidase family; Xylose isomerase-like TIM barrel	NULL	NULL	cytosol [GO:0005829]; chromate reductase activity [GO:0034567]; FMN binding [GO:0010181]; N-ethylmaleimide reductase activity [GO:0008748]; oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor [GO:0046857]; 2,4,6-trinitrotoluene catabolic process [GO:0046256]; nitroglycerin metabolic process [GO:0018937]; xenobiotic metabolic process [GO:0006805]; FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	NULL
ABO13212	Putative L,D-transpeptidase YqjB; Cell shape; Cell wall biogenesis/degradation; Complete proteome; Glycosyltransferase; Hydrolase; Peptidoglycan synthesis; Reference proteome; Signal; Transferase	L,D-transpeptidase catalytic domain; L,D-transpeptidase catalytic domain	NULL	NULL	hydrolase activity [GO:0016787]; transferase activity, transferring glycosyl groups [GO:0016757]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; transferase activity [GO:0016740]	NULL
ABO10985	Oligoribonuclease; Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease; Reference proteome	Exonuclease; 3' exoribonuclease, RNase T-like; Immunity protein 40	NULL	NULL	cytoplasm [GO:0005737]; exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]	NULL
ABO13352	Uncharacterized acyl-CoA thioester hydrolase HI_0827; 3D-structure; Complete proteome; Hydrolase; Reference proteome	Thioesterase superfamily	Hotdog acyl-CoA thioesterase (ACOT)-type domain profile	Biosynthesis of unsaturated fatty acids [acb01040]	hydrolase activity [GO:0016787]	NULL
ABO13708	Pyridoxine/pyridoxamine 5'-phosphate oxidase; Flavoprotein; FMN; Oxidoreductase; Pyridoxine biosynthesis	Pyridoxamine 5'-phosphate oxidase; Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region; Pyridoxamine 5'-phosphate oxidase	Pyridoxamine 5'-phosphate oxidase signature	Metabolic pathways [acb01100]; Vitamin B6 metabolism [acb00750]; Microbial metabolism in diverse environments [acb01120]	FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]; FMN binding [GO:0010181]; oxidoreductase activity, acting on the CH-NH2 group of donors [GO:0016638]; oxidation-reduction process [GO:0055114]	NULL
ABO13356	Beta-lactamase hydrolase-like protein; Complete proteome; Hydrolase; Metal-binding; Reference proteome; Zinc	Putative phosphatase (DUF442)	NULL	NULL	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; hydrolase activity [GO:0016787]	NULL
ABO12498	Uncharacterized protein YxaI; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	RDD family	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NULL
ABO12499	Universal stress protein MJ0531; Complete proteome; Reference proteome	Universal stress protein family	NULL	NULL	response to stress [GO:0006950]; response to stress [GO:0006950]	NULL
ABO10528	Nickel/cobalt homeostasis protein RcnB; Complete proteome; Periplasm; Signal	Nickel/cobalt transporter regulator	NULL	NULL	periplasmic space [GO:0042597]	NULL
ABO13427	PhoH-like protein; ATP-binding; Complete proteome; Cytoplasm; Nucleotide-binding; Reference proteome	PhoH-like protein; AAA domain; AAA domain; ATPase family associated with various cellular activities (AAA); AAA domain; DEAD/DEAH box helicase; UvrD/REP helicase N-terminal domain; AAA domain; IstB-like ATP binding protein; Type III restriction enzyme, res subunit; Ribonuclease H-like; AAA ATPase domain; KH domain; Protein of unknown function (DUF3206)	NULL	NULL	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]	NULL
ABO12493	Uncharacterized membrane protein PA4757; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	LysE type translocator; Protein of unknown function (DUF808); Super-infection exclusion protein B	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; homoserine transmembrane transporter activity [GO:0042970]; homoserine transport [GO:0042968]; amino acid transport [GO:0006865]; membrane [GO:0016020]	NULL
ABO10539	Nicotinate-nucleotide pyrophosphorylase [carboxylating]; Complete proteome; Glycosyltransferase; Pyridine nucleotide biosynthesis; Reference proteome; Transferase	Quinolinate phosphoribosyl transferase, C-terminal domain; Quinolinate phosphoribosyl transferase, N-terminal domain; IMP dehydrogenase / GMP reductase domain; Alpha-haemoglobin stabilising protein	NULL	Metabolic pathways [acb01100]; Nicotinate and nicotinamide metabolism [acb00760]	cytoplasm [GO:0005737]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD biosynthetic process [GO:0009435]; quinolinate catabolic process [GO:0034213]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD biosynthetic process [GO:0009435]; transferase activity, transferring pentosyl groups [GO:0016763]; catalytic activity [GO:0003824]; oxidation-reduction process [GO:0055114]; hemoglobin binding [GO:0030492]; protein folding [GO:0006457]; erythrocyte differentiation [GO:0030218]; protein stabilization [GO:0050821]	NULL
ABO12198	; Calmodulin-binding; Complete proteome; FAD; Flavoprotein; FMN; Heme; Iron; Metal-binding; NADP; Oxidoreductase; Reference proteome	NULL	NULL	NULL	calmodulin binding [GO:0005516]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; NADP binding [GO:0050661]; nitric-oxide synthase activity [GO:0004517]; nitric oxide biosynthetic process [GO:0006809]	NULL
ABO11416	Carbonic anhydrase 2; 3D-structure; Complete proteome; Lyase; Metal-binding; Reference proteome; Zinc	Carbonic anhydrase	Prokaryotic-type carbonic anhydrases signature 1	Nitrogen metabolism [acb00910]	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]	NULL
ABO11710	Putative nickel-responsive regulator; 3D-structure; Complete proteome; DNA-binding; Metal-binding; Nickel; Transcription; Transcription regulation	NikR C terminal nickel binding domain; Ribbon-helix-helix protein, copG family; HicB_like antitoxin of bacterial toxin-antitoxin system; Protein of unknown function (DUF826); Bacterial regulatory proteins, gntR family; DeoR-like helix-turn-helix domain	NULL	NULL	DNA binding [GO:0003677]; nickel cation binding [GO:0016151]; regulation of transcription, DNA-templated [GO:0006355]; response to nickel cation [GO:0010045]; transcription, DNA-templated [GO:0006351]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; intracellular [GO:0005622]	NULL
ABO13525	Succinylglutamate desuccinylase; Arginine metabolism; Hydrolase; Metal-binding; Zinc	Succinylglutamate desuccinylase / Aspartoacylase family; Integron-associated effector binding protein	NULL	Metabolic pathways [acb01100]; Arginine and proline metabolism [acb00330]	hydrolase activity, acting on ester bonds [GO:0016788]; succinylglutamate desuccinylase activity [GO:0009017]; zinc ion binding [GO:0008270]; arginine catabolic process to glutamate [GO:0019544]; arginine catabolic process to succinate [GO:0019545]; hydrolase activity, acting on ester bonds [GO:0016788]; metabolic process [GO:0008152]	NULL
